idx x y theta g h f action
0 0.519692 -0.200410 1.609107 0.000000 0.982270 0.982270 start
1 0.517777 -0.150446 2.001806 1.200000 0.935206 2.135206 forward_left
2 0.496887 -0.105019 2.001806 2.200000 0.885247 3.085247 forward
3 0.475998 -0.059592 2.001806 3.200000 0.835293 4.035293 forward
4 0.455108 -0.014165 2.001806 4.200000 0.785345 4.985345 forward
5 0.434219 0.031263 2.001806 5.200000 0.735403 5.935403 forward
6 0.413329 0.076690 2.001806 6.200000 0.685471 6.885471 forward
7 0.392440 0.122117 2.001806 7.200000 0.635549 7.835549 forward
8 0.371551 0.167544 2.001806 8.200000 0.585640 8.785640 forward
9 0.350661 0.212972 2.001806 9.200000 0.535748 9.735748 forward
10 0.329772 0.258399 2.001806 10.200000 0.485878 10.685878 forward
11 0.308882 0.303826 2.001806 11.200000 0.436039 11.636039 forward
12 0.287993 0.349253 2.001806 12.200000 0.386240 12.586240 forward
13 0.267103 0.394680 2.001806 13.200000 0.336502 13.536502 forward
